subject_code,subject_name,missing_schemes,possible_abbrs,suggested_abbr
20111,PHARMACEUTICS- THEORY,PH1J,PHT-TH (PH-1-J),PHT-TH
20112,PHARMACEUTICAL CHEMISTRY- THEORY,PH1J,PCT-TH (PH-1-J),PCT-TH
20113,PHARMACOGNOSY- THEORY,PH1J,PYT-TH (PH-1-J),PYT-TH
20114,HUMAN ANATOMY & PHYSIOLOGY- THEORY,PH1J,HPT-TH (PH-1-J),HPT-TH
20115,SOCIAL PHARMACY- THEORY,PH1J,SPT-TH (PH-1-J),SPT-TH
20221,PHARMACOLOGY - THEORY,PH2J,PGT-TH (PH-2-J),PGT-TH
20222,COMMUNITY PHARMACY & MANAGEMENT - THEORY,PH2J,CMT-TH (PH-2-J),CMT-TH
20223,BIOCHEMISTRY & CLINICAL PATHOLOGY - THEORY,PH2J,BCT-TH (PH-2-J),BCT-TH
20224,PHARMACOTHERAPEUTICS - THEORY,PH2J,PTT-TH (PH-2-J),PTT-TH
20225,HOSPITAL & CLINICAL PHARMACY - THEORY,PH2J,HCT-TH (PH-2-J),HCT-TH
20226,PHARMACY LAW & ETHICS - THEORY,PH2J,PLT-TH (PH-2-J),PLT-TH
22201,APPLIED MATHEMATICS,"AA2I, CE2C, CE2G, CE2I, CR2I, CS2I","AME-TH (AO-2-I, EE-2-E, EE-2-G, EE-2-I, EJ-2-I, EP-2-I, ET-2-I, EX-2-I, IC-2-I, IE-2-E, IE-2-I, IS-2-I, MU-2-I), AMI-TH (AN-2-I, BD-2-I, CM-2-E, CM-2-G, CM-2-I, CO-2-I, CW-2-I, HA-2-I, IF-2-I, IH-2-I, TE-2-I), AMP-TH (AE-2-I, CH-2-G, CH-2-I, ME-2-C, ME-2-E, ME-2-I, MK-2-I, PG-2-I), AMS-TH (AA-2-I, AA-2-K, AE-2-K, AI-2-K, AL-2-I, AL-2-K, AN-2-K, AO-2-K, AT-2-K, BD-2-K, CE-2-E, CE-2-G, CE-2-I, CE-2-K, CH-2-K, CM-2-K, CO-2-K, CR-2-I, CR-2-K, CS-2-I, CS-2-K, CW-2-K, DS-2-K, EE-2-K, EJ-2-K, EP-2-K, ET-2-K, EX-2-K, HA-2-K, IC-2-K, IE-2-K, IF-2-K, IH-2-K, IS-2-K, IX-2-K, LE-2-K, ME-2-K, MK-2-K, MU-2-K, PG-2-K, TE-2-K)",NULL
22210,APPLIED MATHEMATICS,"AO2I, EE2I, EJ2I, EP2I, ET2I, EX2I, IC2I, IE2E, IE2I, IS2I, MU2I","AME-TH (AO-2-I, EE-2-E, EE-2-G, EE-2-I, EJ-2-I, EP-2-I, ET-2-I, EX-2-I, IC-2-I, IE-2-E, IE-2-I, IS-2-I, MU-2-I), AMI-TH (AN-2-I, BD-2-I, CM-2-E, CM-2-G, CM-2-I, CO-2-I, CW-2-I, HA-2-I, IF-2-I, IH-2-I, TE-2-I), AMP-TH (AE-2-I, CH-2-G, CH-2-I, ME-2-C, ME-2-E, ME-2-I, MK-2-I, PG-2-I), AMS-TH (AA-2-I, AA-2-K, AE-2-K, AI-2-K, AL-2-I, AL-2-K, AN-2-K, AO-2-K, AT-2-K, BD-2-K, CE-2-E, CE-2-G, CE-2-I, CE-2-K, CH-2-K, CM-2-K, CO-2-K, CR-2-I, CR-2-K, CS-2-I, CS-2-K, CW-2-K, DS-2-K, EE-2-K, EJ-2-K, EP-2-K, ET-2-K, EX-2-K, HA-2-K, IC-2-K, IE-2-K, IF-2-K, IH-2-K, IS-2-K, IX-2-K, LE-2-K, ME-2-K, MK-2-K, MU-2-K, PG-2-K, TE-2-K)",AME-TH
22303,MECHANICS OF STRUCTURES,"AL3I, CE2A, CE3G, CE3I, CE4C, CE4E, CR3I, CS3I, LE3I","MOS-TH (AL-3-I, CE-3-G, CE-3-I, CE-4-C, CE-4-E, CR-3-I, CS-3-I, LE-3-I)",NULL
22306,STRENGTH OF MATERIALS,"AE3I, ME3C, ME3E, ME3G, ME3I, PG3I","SOM-TH (AE-3-G, AE-3-I, AE-3-K, AL-3-K, CE-3-K, CR-3-K, CS-3-K, LE-3-K, ME-3-C, ME-3-E, ME-3-G, ME-3-I, ME-3-K, PG-3-I, PG-3-K, PME-3-F)",SOM-TH
22308,AUTOMOBILE ENGINES,AE3I,AEN-TH (AE-3-I),AEN-TH
22310,BASIC ELECTRICAL AND ELECTRONICS ENGINEERING,"AE3I, AL3I, ME3I","BEE-TH (AE-3-I, AL-3-I, ME-3-I)",BEE-TH
22318,COMPUTER GRAPHICS,"CM3I, CO3I, CW3I","CGR-TH (CM-3-I, CO-3-I, CW-3-I)",CGR-TH
22319,DATABASE MANAGEMENT SYSTEM,"AN3I, BD3I, CM3G, CM3I, CO3C, CO3G, CO3I, CW3I","DMS-TH (AI-3-K, AN-3-I, AN-3-K, BD-3-I, BD-3-K, CM-3-I, CM-3-K, CO-3-C, CO-3-G, CO-3-I, CO-3-K, CW-3-I, CW-3-K, DS-3-K, HA-3-I, HA-3-K, IF-3-K, IH-3-I, IH-3-K, TE-3-I, TE-3-K)",NULL
22320,PRINCIPLES OF DIGITAL TECHNIQUES,"AN3I, AO3I, CM3G, CM3I, CO3G, CO3I, CW3I, EJ3E, EJ3G, EJ3I, ET3E, ET3I, EX3I, IC3I, IE3I, IF3C, IS3G, IS3I, MU3I, TE3I","DTE-TH (AN-3-I, AO-3-I, CM-3-C, CM-3-I, CO-3-E, CO-3-G, CO-3-I, CW-3-I, EJ-3-E, EJ-3-G, EJ-3-I, ET-2-A, ET-3-I, EX-3-I, HA-3-I, IC-3-I, IE-3-I, IS-3-I, MU-3-I, TE-3-I)",NULL
22324,ELECTRICAL CIRCUITS,"EE3E, EE3G, EE3I, EP3I","ECI-TH (EE-2-A, EE-3-E, EE-3-G, EE-3-I, EP-3-I)",ECI-TH
22325,ELECTRICAL AND ELECTRONIC MEASUREMENTS,"EE3G, EE3I, EP3I","EEM-TH (EE-3-E, EE-3-G, EE-3-I, EP-3-I)",EEM-TH
22337,THERMAL ENGINEERING,"ME3I, PG3I","TEG-TH (ME-3-K, PME-3-F), TEN-TH (ME-3-I, PG-3-I)",TEN-TH
22342,ENGINEERING METROLOGY,ME3I,EME-TH (ME-3-I),EME-TH
